"name","scie","lang","tags"
"Water melon, dark green (sugar baby)","Citrullus vulgaris","A. Tormuj; B. Tarmuj; E. Watermelon; G. Tadbuj; H. Tarbuj; Kan. Kallangadi; Kash. Hend wend; Kh. Soh watermelon; Kon. Bacchanga; Mal. Thannir mathan; M. Tarbuj; Mar. Kalingad; N. Kharbuja; O. Tarvuja; P. Dawana; Tam. Darbusani; Tel. Puchakaya; U. Tarbuja.","vegetarian eggetarian fishetarian veg"
"Water melon, pale green","Citrullus vulgaris","A. Tormuj; B. Tarmuj; E. Watermelon; G. Tadbuj; H. Tarbuj; Kan. Kallangadi; Kash. Hend wend; Kh. Soh watermelon; Kon. Bacchanga; Mal. Thannir mathan; M. Tarbuj; Mar. Kalingad; N. Kharbuja; O. Tarvuja; P. Dawana; Tam. Darbusani; Tel. Puchakaya; U. Tarbuja.","vegetarian eggetarian fishetarian veg"
"Wood Apple","Limonia acidissima","A. Bel; B. Koyeth Bael; E. Elephant apple; G. Kothu; H. Kaith; Kan. Bele; Kash. Bum choont; Mal. Vilam pazham; Mar. Kavath; O. Kaitha; P. Chaktora; S. Bilvaon (Gorakamli); Tam. Vilam pazham; Tel. Velega pandu; U. Beal.","vegetarian eggetarian fishetarian veg"
"Quail, meat, skinless","","","nonveg"
"Zizyphus","Zizyphus jujube","A. Bogori; B. Kula; E. Jujube, Ziziphus; G. Ber; H. Ber; Kan. Yelachi; Kash. Brey; Kh. Soh broi heh; Kon. Bor; Mal. Elanth pazham; M. Boroi; Mar. Bor; O. Barakoli; P. Beri; S. Badarii; Tam. Elanthai pazham; Tel. Regu pandu; U. Ber.","vegetarian eggetarian fishetarian veg"
"Beet root","Beta vulgaris","A. Beet; B. Beet; E. Beetroot, Beet, Table beet, Garden beet, Red beet, Golden beet; G. Beet; H. Chukandar; Kan. Beet; Kh. U bit; Kash. Chogander munji; Mal. Beet root; Mar. Beet root; O. Bita; P. Chukandar; S. Paalangashaakah; Tam. Beet root; Tel. Beet root; U. Chokhandar.","vegetarian eggetarian fishetarian veg"
"Carrot, orange","Dacus carota","A. Gajor; B. Gajar; G. Gajar; H. Gajar; Kan. Gajjare; Kash. Ghahzir; Kh. U kajor; Mal. Carrot; M. Gajar; Mar. Gajar; N. Gajar; O. Gajara; P. Gajar; S. Grunjanam; Tam. Carrot; Tel. Gajjara gadda; U. Gajar.","vegetarian eggetarian fishetarian veg"
"Turkey, leg, with skin","","","nonveg"
"Carrot, red","Dacus carota","A. Gajor; B. Gajar; G. Gajar; H. Gajar; Kan. Gajjare; Kash. Ghahzir; Kh. Kajor; Mal. Carrot; M. Gajar; Mar. Gajar; N. Gajar; O. Gajara; P. Gajar; S. Grunjanam; Tam. Carrot; Tel. Gajjara gadda; U. Gajar.","vegetarian eggetarian fishetarian veg"
"Colocasia","Colocasia antiquorum","A. Kosu; B. Kochu; E. Taro; G. Advi; H. Arwi; Kan. Samagadde; Kash. faram; Kh. Ka shriew; Mal. Chembu; M. Paan; Mar. Alu kanda; O. Saru; P. Arwi; Tam. Seppankizhangu; Tel. Chama dumpa; U. Arwi.","vegetarian eggetarian fishetarian veg"
"Lotus root","Nelumbium nelumbo","A. podum thari; G. Kamad kakdi; H. Kamal gatta, Kamal kakdi; Kan. Tavare dantu; Kash. Nader; Kh. Thied lotus; Mal. Thamara thandu; M. Thambou; Mar. Kamalkaakdi; O. Padma nad; P. Kamal zahr; Tam. Thamaraithandu; Tel. Thamara kada; U. Kanwal kakri.","vegetarian eggetarian fishetarian veg"
"Potato, brown skin, big","Solanum tuberosum","A. Simolu aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. U phan; Kon. Alu; N. Alu; Mal. Urula kizhangu; M. Aloo; Mar. Batata; O. Alu; P. Alu; S. Aalukah; Tam. Urulai kizhangu; Tel. Bangala dumpa; U. Alu.","vegetarian eggetarian fishetarian veg"
"Potato, brown skin, small","Solanum tuberosum","A. Simolu aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. Phan rit; Kon. Alu; M. Aloo; Mar. Batata; N., O., P., U. Alu; S. Aalukah; Tam. Urulaikizhangu; Tel. Bangala dumpa.","vegetarian eggetarian fishetarian veg"
"Potato, red skin","Solanum tuberosum","A. Aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. Phan saw; Kon. Alu; Mal. Urula kizhangu; Mar. Batata; N. Alu; O. Alu; P. Alu; S. Aalukah; M. Aloo; Tam. Urulaikizhangu; Tel. Bangala dumpa; U. Alu.","vegetarian eggetarian fishetarian veg"
"Radish, round, white skin","Raphanus sativus","A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli pyllon; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.","vegetarian eggetarian fishetarian veg"
"Radish, elongate, red skin","Raphanus sativus","A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli saw; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.","vegetarian eggetarian fishetarian veg"
"Radish, elongate, white skin","Raphanus sativus","A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli lieh; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.","vegetarian eggetarian fishetarian veg"
"Radish, round, red skin","Raphanus sativus","A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli pyllon; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.","vegetarian eggetarian fishetarian veg"
"Turkey, thigh, with skin","","","nonveg"
"Sweet potato, brown skin","Ipomoes batatas","A. Meetha aloo; B. Ranga alu; G. Sakkaria; H. Shakarkand; Kan. Genasu; Kh. Phankaro iong; Mal. Sakkarvalli kazhangu; M. Manghra; Mar. Ratalu; N. Sakhar Khand; O. Kandamula; P. Sakkargandi; Tam. Sakkarvalli kizhangu; Tel. Chilagada dumpa; U. Ratalu.","vegetarian eggetarian fishetarian veg"
"Sweet potato, pink skin","Ipomoes batatas","A. Meetha aloo; B. Ranga alu; G. Sakkaria; H. Shakarkand; Kan. Genasu; Kh. Phankaro saw; Mal. Sakkarvalli kazhangu; M. Manghra; Mar. Ratalu; N. Sakhar Khand; O. Kandamula; P. Sakkargandi; Tam. Sakkarvalli kizhangu; Tel. Chilagada dumpa; U. Ratalu.","vegetarian eggetarian fishetarian veg"
"Tapioca","Manihot esculenta","A. Sagi; B. Simla alu; G. Aararoot; H. Simla alu; Kan. Mra genasu; Kh. Phan dieng; Mal. Mrachini; M. U Manghra; Mar. Simla  Batata; N. Tarul; O. Kathakonda; P. Simla alu; Tam. Maravalli kizhangu; Tel. Krrapendalamu; U. Kasawa soji.","vegetarian eggetarian fishetarian veg"
"Water Chestnut","Eleocharis dulcis","A.Pani singora; B. Pani phal; G. Shingoda; H., Mar. Shingara; Kash. Goer; Mal. Karimpolam; M. Kaothum; O. Pani singhara; P. Shingada; Tam. Singhara; Tel. Kubyakam.","vegetarian eggetarian fishetarian veg"
"Yam, elephant","Amorphophallus campanulatus","A. Ol kachu; B. Ol; E. Elephant foot yam, Whitespot giant arum; G. Suran; H. Zimikandha; Kan. Suvarna gadda; Kh. Shriew hati; Mal. Chena; M. Haa; Mar. Suran; O. Suran; P. Zimikand; Tam. Karunai kizhangu; Tel. Kandha dumpa.","vegetarian eggetarian fishetarian veg"
"Yam, ordinary","Amorphophallus campanulatus","A. Kath aloo; B. Gherkochoo; E. White yam, Winged yam, Water yam, Purple yam; G. Ratadu; H. Sooran; Kan. Suvarna gadda; Kh. Shriew jrong; Mal. Chena; M. Haa; Mar. Goradu; N. Pidaloo; O. Khamba alu; S. Aalu; Tam. Karunai kizhangu; Tel. Durdakandagadda.","vegetarian eggetarian fishetarian veg"
"Turkey, breast, with skin","","","nonveg"
"Yam, wild","Dioscorea versicolor","A. Jongoli kosu; B. Ranga alu; G. Ratadu; H. Suaralu; Kan. Hegganasu; Kh. Shriew lieh; Mal. Kattuchena; M. Haa; Mar. Suran; Tam. Kodi kizhangu; Tel. Chedu paddu dumpa.","vegetarian eggetarian fishetarian veg"
"Chillies, green-1","Capsicum annum","A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Sohmynken heh; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.","vegetarian eggetarian fishetarian veg"
"Chillies, green-2","Capsicum annum","A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.","vegetarian eggetarian fishetarian veg"
"Turkey, wing, with skin","","","nonveg"
"Chillies, green-3","Capsicum annum","A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.","vegetarian eggetarian fishetarian veg"
"Chillies, green-4","Capsicum annum","A. Kesa jalakia; E. Chili pepper; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.","vegetarian eggetarian fishetarian veg"
"Chillies, green-5","Capsicum annum","A. Kesa jalakia; E. Chili pepper; G. Vadhvani marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.","vegetarian eggetarian fishetarian veg"
"Chillies, green-6","Capsicum annum","A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.","vegetarian eggetarian fishetarian veg"
"Chillies, green-7","Capsicum annum","A. Kesa jalakia; E. Chili pepper; G. Gola marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken beb; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.","vegetarian eggetarian fishetarian veg"
"Chillies, green - all varieties","Capsicum annum","A. Kesa jalakia; E. Chili pepper; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.","vegetarian eggetarian fishetarian veg"
"Toddy","","A. Tari; B. Tari; E. Palm wine; Kan. Henda; G. Tadi; H. Tarai; Kh. Kiad lieh; Mar., O. Tadi; P. Todhi; Mal., Tam., Tel. Kallu.","vegetarian eggetarian fishetarian veg"
"Coriander leaves","Coriandrum sativum","A. Dhania paat; B. Dhone pata; E. Cilantro, Chinese parsley; G. Dhana pandada; H. Hara dhania; Kan. Kothambari; Kash. Daaniwal; Kh. Dhonia dkhar; Mal. Kothamalli; M. Fadhighom Mana; Mar. Kothimbir; N. Hario Dhaniya; O. Dhania Patra; P. Hara dhaniya patta; Tam. Kothamalli; Tel. Kothimiri; U. Hara dhaniya.","vegetarian eggetarian fishetarian veg"
"Curry leaves","Murraya koenigii","A. Narasingha paat; B. Karhi-pat; E. Sweet Neem leaves; G. Kadi umdo; H. Gandhela ; Kan. Karibevu; Kash. Curry patta; Kh. Sla Kori; Mal. Kariveppilai; M. Curry Pata; Mar. Gandhela; N. Kary patta; O. Bhursanga Patra; P. Kadhi patta; S. Girinimba; Tam. Kariveppilai; Tel. Karivepaku; U. Kadi ka patta.","vegetarian eggetarian fishetarian veg"
"Garlic, big clove","Allium sativum","A. Nohoru; B. Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun heh/ Rynsun dkhar; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Poondu; Tel. Vellulli; U. Laisan.","vegetarian eggetarian fishetarian veg"
"Garlic, small clove","Allium sativum","A. Nohoru; B. Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun rit; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Poondu; Tel. Vellulli; U. Laisan.","vegetarian eggetarian fishetarian veg"
"Garlic, single clove, Kashmir","Allium sativum","A. Nohoru; B. Ek koya Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Ottrai poondu; Tel. Vellulli; U. Laisan.","vegetarian eggetarian fishetarian veg"
"Ginger, fresh","Zinziber officinale","A. Ada kesa; B. Ada; G. Adu; H. Adrak ; Kan. Shunti; Kash. Adrak; Kh. Sying bah; Mal. Inji; M. Sing; Mar. Ale; N. Aduwa; O. Ada; P. Adrak; S. Aadrak; Tam. Inji; Tel. Allam; U. Adrak.","vegetarian eggetarian fishetarian veg"
"Egg, duck, whole, boiled","","","eggetarian fishetarian nonveg"
"Mango ginger","Curcuma amada","A. Aam ada; B. Amada; G. Amba Hardar; H. Aam adhrak; Kan. Mavina hasi sunthi; Kash. Adrak; Kh. Sying makhir; Mal. Mangainji; Mar. Amba haldi; P. Aam adrak; Tam. Mainji; Tel. Mamidiallam; U. Aam adrak.","vegetarian eggetarian fishetarian veg"
"Mint leaves","Mentha spicata","A. Podina; B. Pudina; E. Mentha; G. Phudino; H. Pudina; Kan. Pudina; Kash. Pudinth; Kh. Pudina; Mal. Pudina; M. Nungsihidak; Mar. Pudina; N. Baabari; O. Pudina Patra; P. Pudina; Tam. Pudina; Tel. Pudina; U. Pudina.","vegetarian eggetarian fishetarian veg"
"Onion, big","Allium cepa","A. Piyanj; B. Peyaj; E. Bulb onion, Common onion; G. Kando; H. Pyaz; Kan. Eerulli; Kash. Gandha; Kh. Piat; Mal. Ulli; M. Tilhou; Mar. Kanda; N. Pyaj; O. Piaja; P. Gandhe; S. Palaanduh; Tam. Vengayam; Tel. Neerulli/Ullipaya; U. Pyaaz.","vegetarian eggetarian fishetarian veg"
"Onion, small","Allium cepa","A. Xoru Piyanj; B. Gundhun; E. Bulb onion, Common onion; G. Dungri (nani); H. Pyaaz Kali; Kan. Chikk Eerulli; Kash. Praan; Kh. Piat rit; Mal. Cheriya Ulli; M. Tilhou ; Mar. Kanda; N. Chayapi; P. Gandhe; Tam. Chinna vengayam; Tel. Chinna ullipaya; U. Pyaaz.","vegetarian eggetarian fishetarian veg"
"Asafoetida","Ferula assa-foetida","A. Hing; B. Hing; E. Food of the Gods, Jowani Badian, Hengu, Ingu, Kayam, Ting; G. Hing; H. Hing ; Kan. Hingu; Kash. Yangu; Kh. U hing; Mal. Perungayam; M. Hing; Mar. Hing; N. Hing; O. Hingu; P. Hing; S. Badhika; Tam. Perugayam; Tel. Inguva; U. Hing.","vegetarian eggetarian fishetarian veg"
"Cardamom, green","Elettaria cardamomum","A. Ilasi; B. Elach; E. True cardamom; G. Alechi; H. Elaychi; Kan. Yelakki; Kash. Aa’l budu’a aa’ l; Kh. Elaishi; Mal. Elakkai; M. Elaichi; Mar. Veldoda; N. Alaichi; O. Alaichi; P. Shoti elaychi; S. Ela; Tam. Elakkai; Tel. Elakkai; U. Elaichi.","vegetarian eggetarian fishetarian veg"
"Cardamom, black","Elettaria cardamomum","B. Boro elach; E. Hill cardamom, Bengal cardamom, Greater cardamom, Indian cardamom, Nepal cardamom, Winged cardamom, Brown cardamom; G. Moti alechi; A. Ilasi; H. Badi elaychi; Kan. Yelakki; Kash. Aa’l budu’a aa’ l; Kh. Elaichi; Mal. Elathari; M. Elaichi; Mar. Veldoda; N. Alaichi; O. Alaichi; P. Baddi elaychi; S. Ela; Tam. Elakkai; Tel. Elakkai; U. Elaichi.","vegetarian eggetarian fishetarian veg"
"Chillies, red","Capsicum annum","A. Sukan jolokia; B. Shuckhuo Lonka; E. Red chilli pepper; G. Lal marcha (sukha); H. Mirchi; Kan. Ona Menasinakayi; Kh. Sohmynken trykhong; Mal. Mulaku; M. Morok Akangba; Mar. Mulaku; N. Rato Khursani; O. Lanka; P. Lal mircha; Tam. Varamilagai; Tel. Mirapakaya; U. Lal mirchi.","vegetarian eggetarian fishetarian veg"
"Cloves","Syzygium aromaticum","A. Long; B. Lobong; G. Lavang; H. Lavang; Kan. Lavanga; Kash. Ruang; Kh. U long; Mal. Krambu; M. Long; Mar. Lavang; N. Luwang; O. Labang; P. Long; S. Lavanga; Tam. Krambu; Tel. Lavangu; U. Long.","vegetarian eggetarian fishetarian veg"
"Coriander seeds","Coriandrum sativum","A. Dhoniya; B. Dhone; E. Cilantro seeds, Chinese parsley seeds; G. Sukha dhana; H. Dhania; Kan. Kothambari; Kash. Daaniwal; Kh. Symbai dhania; Mal. Kothambalari; M. Fadhighom Maru; Mar. Dhane; N. Dhania; O. Dhania; P. Dhania; S. Dhanyaka; Tam. Kothamalli vidhai; Tel. Dhaniyalu; U. Dhaniya.","vegetarian eggetarian fishetarian veg"
"Cumin seeds","Cuminum cyminum","A. Jeera; B. Jire; G. Jiru; H. Jira; Kan. Jeerage; Kash. Zyur; Kh. U jeera; Mal. Jeerakam; M. Jeera; Mar. Jira; N. Jeera; O. Jira; P. Jira; S. Jiraka; Tam. Jeerakam; Tel. Jeelakarra; U. Jira.","vegetarian eggetarian fishetarian veg"
"Fenugreek seeds","Trigonella foenum graecum","A. Methi; B. Methi; G. Methi dana ; H. Methi; Kan. Menthe; Kash. Meeth; Kh. Symbai methi; Mal. Uluva; M. Methi; Mar. Methi; N. Methi; O. Methi; P. Methi; S. Methe; Tam. Venthayam; Tel. Menthulu; U. Methi.","vegetarian eggetarian fishetarian veg"
"Mace","Myristica fragrans","B. Jayitri; E. Nutmeg; G. Javantri; H. Avithri; Kan. Jalwatur; Kash. Jalwatur; Mal. Jathipatri; Mar. Jaypatri; O. Jayitri; P. Jaipatri; Tam. Jathipatri; Tel. Japathri; U. Javantri.","vegetarian eggetarian fishetarian veg"
"Nutmeg","Myristica fragrans","A. Jaiphal; B. Jayphal; E. Fragrant nutmeg, True nutmeg; G. Jayaphad; H. Jaiphal; Kan. Jayikayi mara; Kash. Zaaphal; Mal. Jathikai; Mar. Jayaphala; N. Jaiphal; O. Jaiphal; P. Jaiphal; S. Jatiphala; Tam. Jathikai; Tel. Jajikaya; U. Jaifal.","vegetarian eggetarian fishetarian veg"
"Omum","Trachyspermum ammi","A. Ajwain; B. Joan; E. Ajwain, Ajowan, Ajowan caraway, Ajman, Bishop`s weed, Carom; G. Ajmo; H. Ajwan; Kan. Oma; Kash. Jawind; Kh. Paspron; Mal. Ayamothakam; Mar. Onva; O. Juani; P. Ajwain; S. Ajamoda; Tam. Omum; Tel. Vamu; U. Ajwain.","vegetarian eggetarian fishetarian veg"
"Pippali","Piper longum","B. Pipul; E. Long pepper, Indian long pepper; G. Khus khus; H. Pipli; Kan. Kandan Lippili; Kh. Sohmarit khlaw; Mal. Tippali; Mar. Pimpli; O. Sarupippali; P.  Javantri; S. Pippali; Tam. Tippili; Tel. Pippallu; U. Pipul.","vegetarian eggetarian fishetarian veg"
"Pepper, black","Piper nigrum","A. Kola jaluk; B. Golmarichi; E. Peppercorn; G. Mari; H. Kalimirchi; Kan. Kari menasu; Kash. Marutus; Kh. Soh marit; Mal. Kurumlaku; Mar. Mire; N. Marich; O. Golomarcho; P. Kalimirchi; S. Marich ushna, hapusha; Tam. Milagu; Tel. Mirayalu; U. Kaali Mirch.","vegetarian eggetarian fishetarian veg"
"Poppy seeds","Papaver somniferum","A. Afoo guti; B. Posta; G. Aphina; H. Postdana; Kan. Afim; Kash. Khaskhash; Mal. Afiam; Mar. Khaskhas; N. Khus Khus; O. Postak; P. Khas Khas; S. Khasa; Tam. Khasakhasa; Tel. Gasagasalu; U. Khash Khash.","vegetarian eggetarian fishetarian veg"
"Turmeric powder","Curcuma domestica","A. Halodhi; B. Holud; G. Haddar; H. Haldi; Kan. Anashina; Kash. Lader; Kh. Shynrai; Mal. Manjal; M. Yaingang; Mar. Halad; N. Besar; O. Haladi; P. Haldi; S. Haladi; Tam. Manjal; Tel. Pasupu; U. Haldi.","vegetarian eggetarian fishetarian veg"
"Almond","Prunus amygdalus","A. China badam; B. Badam; G. Badam; H. Badam; Kan. Badam; Kash. Badam; Kh. Almon; Mal. Vatam kottai; M. Badam; Mar. Badam; N. Kagji Badam; O. Badam; P. Badam; Tam. Badam paruppu; Tel. Badam Pappu; U. Badam.","vegetarian eggetarian fishetarian veg"
"Arecanut, dried, brown","Areca catechu","A.Sufari; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supari; Kh. Kwai tyrkhong; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Kottai paakku; Tel. Vakka; U. Supari.","vegetarian eggetarian fishetarian veg"
"Arecanut, dried, red color","Areca catechu","A. Sufari; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supaari; Kh. Kwai supari; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Paakku; Tel. Vakka; U. Supari.","vegetarian eggetarian fishetarian veg"
"Arecanut, fresh","Areca catechu","A. Kesa tamul; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supaari; Kh. Kwai im; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Paakku; Tel. Vakka; U. Supari.","vegetarian eggetarian fishetarian veg"
"Cashew nut","Anacardium occidentale","A. Kaju badam; B. Hijli Badam; G. Kaju; H. Kaju; Kan. Geru beeja; Kash. Kaju; Kh. Soh kashu; Mal. Kasu andi; M. Kaju; Mar. Kaju; N. Kaju; O. Lanka ambu; P. Kaju; Tam. Mundiri paruppu; Tel. Jeedi pappu; U. Kaju.","vegetarian eggetarian fishetarian veg"
"Egg, duck, whole, raw","","","eggetarian fishetarian nonveg"
"Coconut, kernal, dry","Cocos nucifera","A. Dab narikol; B. Narkel; G. Kopra ni kachli; H. Nariyal; Kan. Thengini kai; Kash. Narjil; Kh. Snep kor trykhong; Mal. Thenga; M. Yubi Akangba; Mar. Narel; O. Nadia; P. Gola; Tam. Kopparai; Tel. Endu Kobbari; U. Khopra.","vegetarian eggetarian fishetarian veg"
"Coconut, kernel, fresh","Cocos nucifera","A. Narikol; B. Narkel; G. Nariyad; H. Nariyal; Kan. Thengina kayi; Kash. Narjeel; Kh. Snep kor im; Mal. Karikku; M. Yubi; Mar. Narel; N. Naribel; O. Paida; P. Nariyal; S. Naarikela; Tam. Thenkai; Tel. Kobbari; U. Nariyel.","vegetarian eggetarian fishetarian veg"
"Garden cress, seeds","Lepidium sativum","A. Soru manimunni ; B. Halim; G. Asadiyo; H. Halim; Kan. Allibija; Mal. Alivirai; Mar. Ahiva; P. Halim; Tam. Alivirai; Tel. Adityala.","vegetarian eggetarian fishetarian veg"
"Gingelly seeds, black","Sesamum indicum","A. Kola til; B. Til; E. Sesame seeds; G. Kada tal; H. Til; Kan. Acchellu; Kash. Til; Kh. Nei iong; Mal. Ellu; M. Thoiding Amuba; Mar. Til; N. Teel; O. Rasi; P. Til; S. Til; Tam. Ellu; Tel. Nuvvulu; U. Til .","vegetarian eggetarian fishetarian veg"
"Gingelly seeds, brown","Sesamum indicum","A. Matia rangar til; B. Til; E. Sesame seeds; G. Tal; H. Til; Kan. Acchellu; Kash. Til; Kh. Nei; Mal. Ellu; M. Thoiding; Mar. Til; N. Teel; O. Rasi; P. Til; S. Til; Tam. Ellu; Tel. Nuvvulu; U. Til.","vegetarian eggetarian fishetarian veg"
"Gingelly seeds, white","Sesamum indicum","A. Boga til; B. Til; E. Sesame seeds; G. Safed tal; H. Til; Kan. Acchellu; Kash. Til; Kh. Nei; Mal. Ellu; M. Thoiding Angouba; Mar. Til; N. Teel; O. Rasi; P. Til; S. Til; Tam. Ellu; Tel. Nuvvulu; U. Til.","vegetarian eggetarian fishetarian veg"
"Ground nut","Arachis hypogea","A. Badam; B. China badam; E. Peanut, Groundnut, Goober; G. Singdana; H. Moog phali; Kan. Kadale kayi; Kash. Moong phalli; Kh. Badam; Mal. Nilakkadalai; M. Leibak Hawai; Mar. Bhui mug; O. China badam; P. Moog phali; Tam. Verkadalai; Tel. Verusenaga; U. Moog phali.","vegetarian eggetarian fishetarian veg"
"Mustard seeds","Brassica juncea","A. Soriyah; B. Sorse; G. Rai; H. Rai; Kan. Sasuve; Kash. Assur; Kh. Symbai syrso; Mal. Kadugu; M. Hangham Maru; Mar. Mohori; N. Rayo; O. Sorisa; P. Rai; S. Sarssapa; Tam. Kadugu; Tel. Avalu; U. Rai.","vegetarian eggetarian fishetarian veg"
"Linseeds","Linum usitatissimum","B. Tishi; E. Flax seeds, Common flax; G. Adsi; H. Alsi; Kan. Agasi; Kash. Ailsh; Mal. Cheruchana vithu; Mar. Jawas; O. Pesi; P. Alsi; S. Atasii; Tam. Ali vidai; Tel. Avise ginzalu; U. Alsi.","vegetarian eggetarian fishetarian veg"
"Niger seeds, black","Guizotia abyssinica","A. Sorguja; B. Ram til; G. Kada tal; H. Kala til; Kan. Gurellu; Kash. Bazar-Bhang; Mal. Karim jeerakam; Mar. Karale; Tam. Kattelu; Tel. Valasulu.","vegetarian eggetarian fishetarian veg"
"Niger seeds, gray","Guizotia abyssinica","A. Sorguja; B. Ram til; G. Tal; H. Kala til; Kan. Gurellu; Kash. Bazar-Bhang; Mal. Karim jeerakam; Mar. Karale; Tam. Kattelu; Tel. Valasulu.","vegetarian eggetarian fishetarian veg"
"Pine seed","Pinus gerardiana","E. Pine nut; G. Chilgoza; H. Chilgoza; Kash. Chilgoza; Kh. Symbai soh kseh; Mar. Jhurane biya; P. Rhi.","vegetarian eggetarian fishetarian veg"
